Species,Drug,Country,y_event,y_PRAS_alert,y_NAIVE_alert,PRAS_lead_yrs,NAIVE_lead_yrs,savings_vs_naive
Klebsiella pneumoniae,Ceftriaxone,"Korea, South",2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,Kuwait,2012,,2012,,0,
Klebsiella pneumoniae,Ceftriaxone,Latvia,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Lithuania,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Malaysia,2009,,2009,,0,
Klebsiella pneumoniae,Ceftriaxone,Mexico,2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,Morocco,2011,,2011,,0,
Klebsiella pneumoniae,Ceftriaxone,Namibia,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Netherlands,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Pakistan,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Panama,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Philippines,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Poland,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Portugal,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Puerto Rico,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Romania,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Russia,2016,,2016,,0,
Klebsiella pneumoniae,Ceftriaxone,Saudi Arabia,2009,,2009,,0,
Klebsiella pneumoniae,Ceftriaxone,Serbia,2017,,2017,,0,
Klebsiella pneumoniae,Ceftriaxone,Singapore,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Slovak Republic,2007,,2007,,0,
Klebsiella pneumoniae,Ceftriaxone,Slovenia,2007,,2006,,1,
Klebsiella pneumoniae,Ceftriaxone,South Africa,2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,Spain,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Sweden,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Switzerland,2009,,2008,,1,
Klebsiella pneumoniae,Ceftriaxone,Taiwan,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Thailand,2008,,2008,,0,
Klebsiella pneumoniae,Ceftriaxone,Tunisia,2011,,2011,,0,
Klebsiella pneumoniae,Ceftriaxone,Turkey,2005,,2005,,0,
Klebsiella pneumoniae,Ceftriaxone,United Kingdom,2004,,2004,,0,
Klebsiella pneumoniae,Ceftriaxone,Venezuela,2006,,2006,,0,
Klebsiella pneumoniae,Ceftriaxone,Vietnam,2015,,2015,,0,
Klebsiella pneumoniae,Colistin,Argentina,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Brazil,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Bulgaria,2022,,2022,,0,
Klebsiella pneumoniae,Colistin,Chile,2024,,2022,,2,
Klebsiella pneumoniae,Colistin,Croatia,2021,,2019,,2,
Klebsiella pneumoniae,Colistin,Greece,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Guatemala,2022,,2022,,0,
Klebsiella pneumoniae,Colistin,Italy,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Jordan,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Kuwait,2021,,2018,,3,
Klebsiella pneumoniae,Colistin,Morocco,2024,,2023,,1,
Klebsiella pneumoniae,Colistin,Poland,2020,,2018,,2,
Klebsiella pneumoniae,Colistin,Romania,2018,,2018,,0,
Klebsiella pneumoniae,Colistin,Saudi Arabia,2019,,2019,,0,
Klebsiella pneumoniae,Colistin,Thailand,2022,,2018,,4,
Klebsiella pneumoniae,Colistin,Turkey,2019,,2018,,1,
Klebsiella pneumoniae,Colistin,Ukraine,2018,,2018,,0,
Klebsiella pneumoniae,Imipenem,Argentina,2012,,2012,,0,
Klebsiella pneumoniae,Imipenem,Austria,2015,,2015,,0,
Klebsiella pneumoniae,Imipenem,Brazil,2012,,2012,,0,
Klebsiella pneumoniae,Imipenem,Bulgaria,2022,,2022,,0,
Klebsiella pneumoniae,Imipenem,Cameroon,2023,,2023,,0,
Klebsiella pneumoniae,Imipenem,Chile,2021,2021.0,2021,0.0,0,0.0
Klebsiella pneumoniae,Imipenem,China,2015,,2012,,3,
Klebsiella pneumoniae,Imipenem,Colombia,2012,,2012,,0,
Klebsiella pneumoniae,Imipenem,Costa Rica,2021,,2018,,3,
Klebsiella pneumoniae,Imipenem,Croatia,2019,,2019,,0,
Klebsiella pneumoniae,Imipenem,Greece,2012,,2012,,0,
Klebsiella pneumoniae,Imipenem,Guatemala,2018,,2018,,0,
Klebsiella pneumoniae,Imipenem,Hungary,2019,2019.0,2018,0.0,1,-1.0
Klebsiella pneumoniae,Imipenem,India,2018,,2018,,0,
Klebsiella pneumoniae,Imipenem,Israel,2012,,2012,,0,
Klebsiella pneumoniae,Imipenem,Italy,2012,,2012,,0,
Klebsiella pneumoniae,Imipenem,Jordan,2018,,2018,,0,
Klebsiella pneumoniae,Imipenem,Kenya,2014,,2013,,1,
Klebsiella pneumoniae,Imipenem,"Korea, South",2023,2023.0,2017,0.0,6,-6.0
Klebsiella pneumoniae,Imipenem,Kuwait,2020,2020.0,2014,0.0,6,-6.0
Klebsiella pneumoniae,Imipenem,Malawi,2023,,2022,,1,
Klebsiella pneumoniae,Imipenem,Malaysia,2020,2020.0,2019,0.0,1,-1.0
Klebsiella pneumoniae,Imipenem,Mexico,2021,2021.0,2016,0.0,5,-5.0
Klebsiella pneumoniae,Imipenem,Morocco,2019,,2018,,1,
Klebsiella pneumoniae,Imipenem,New Zealand,2021,,2021,,0,
Klebsiella pneumoniae,Imipenem,Nigeria,2018,,2013,,5,
Klebsiella pneumoniae,Imipenem,Panama,2021,,2019,,2,
Klebsiella pneumoniae,Imipenem,Philippines,2017,2017.0,2014,0.0,3,-3.0
Klebsiella pneumoniae,Imipenem,Poland,2018,2018.0,2018,0.0,0,0.0
Klebsiella pneumoniae,Imipenem,Portugal,2013,,2012,,1,
Klebsiella pneumoniae,Imipenem,Qatar,2019,,2019,,0,
Klebsiella pneumoniae,Imipenem,Romania,2013,,2012,,1,
Klebsiella pneumoniae,Imipenem,Russia,2012,,2012,,0,
Klebsiella pneumoniae,Imipenem,Saudi Arabia,2019,,2019,,0,
Klebsiella pneumoniae,Imipenem,South Africa,2019,2018.0,2017,1.0,2,-1.0
Klebsiella pneumoniae,Imipenem,Spain,2020,2020.0,2015,0.0,5,-5.0
Klebsiella pneumoniae,Imipenem,Taiwan,2024,2020.0,2018,4.0,6,-2.0
Klebsiella pneumoniae,Imipenem,Thailand,2017,2017.0,2015,0.0,2,-2.0
Klebsiella pneumoniae,Imipenem,Turkey,2014,,2012,,2,
Klebsiella pneumoniae,Imipenem,Ukraine,2018,,2018,,0,
Klebsiella pneumoniae,Imipenem,Venezuela,2018,2018.0,2012,0.0,6,-6.0
Klebsiella pneumoniae,Meropenem,Argentina,2010,,2010,,0,
Klebsiella pneumoniae,Meropenem,Austria,2015,2015.0,2009,0.0,6,-6.0
Klebsiella pneumoniae,Meropenem,Brazil,2012,,2007,,5,
Klebsiella pneumoniae,Meropenem,Bulgaria,2022,,2011,,11,
Klebsiella pneumoniae,Meropenem,Cameroon,2023,,2020,,3,
Klebsiella pneumoniae,Meropenem,Chile,2021,2014.0,2008,7.0,13,-6.0
Klebsiella pneumoniae,Meropenem,China,2014,2013.0,2012,1.0,2,-1.0
Klebsiella pneumoniae,Meropenem,Colombia,2008,,2007,,1,
Klebsiella pneumoniae,Meropenem,Costa Rica,2021,,2018,,3,
Klebsiella pneumoniae,Meropenem,Croatia,2013,2013.0,2013,0.0,0,0.0
Klebsiella pneumoniae,Meropenem,Egypt,2011,,2011,,0,
Klebsiella pneumoniae,Meropenem,El Salvador,2009,,2009,,0,
Klebsiella pneumoniae,Meropenem,Greece,2007,,2007,,0,
Klebsiella pneumoniae,Meropenem,Guatemala,2008,,2008,,0,
Klebsiella pneumoniae,Meropenem,Honduras,2009,,2007,,2,
Klebsiella pneumoniae,Meropenem,Hungary,2022,2022.0,2019,0.0,3,-3.0
Klebsiella pneumoniae,Meropenem,India,2008,,2007,,1,
Klebsiella pneumoniae,Meropenem,Israel,2007,,2007,,0,
Klebsiella pneumoniae,Meropenem,Italy,2010,,2009,,1,
Klebsiella pneumoniae,Meropenem,Jordan,2015,2015.0,2015,0.0,0,0.0
Klebsiella pneumoniae,Meropenem,Kenya,2014,,2013,,1,
Klebsiella pneumoniae,Meropenem,"Korea, South",2023,2023.0,2017,0.0,6,-6.0
Klebsiella pneumoniae,Meropenem,Kuwait,2020,2020.0,2015,0.0,5,-5.0
Klebsiella pneumoniae,Meropenem,Malawi,2022,,2022,,0,
Klebsiella pneumoniae,Meropenem,Malaysia,2020,2019.0,2019,1.0,1,0.0
Klebsiella pneumoniae,Meropenem,Mexico,2021,2019.0,2009,2.0,12,-10.0
Klebsiella pneumoniae,Meropenem,Morocco,2019,2019.0,2019,0.0,0,0.0
Klebsiella pneumoniae,Meropenem,Nigeria,2018,,2013,,5,
Klebsiella pneumoniae,Meropenem,Pakistan,2015,,2015,,0,
Klebsiella pneumoniae,Meropenem,Panama,2021,2021.0,2019,0.0,2,-2.0
Klebsiella pneumoniae,Meropenem,Philippines,2015,2015.0,2012,0.0,3,-3.0
Klebsiella pneumoniae,Meropenem,Poland,2009,,2009,,0,
Klebsiella pneumoniae,Meropenem,Portugal,2019,2019.0,2010,0.0,9,-9.0
Klebsiella pneumoniae,Meropenem,Qatar,2019,,2019,,0,
Klebsiella pneumoniae,Meropenem,Romania,2009,,2009,,0,
Klebsiella pneumoniae,Meropenem,Russia,2012,,2012,,0,
Klebsiella pneumoniae,Meropenem,Saudi Arabia,2012,,2009,,3,
Klebsiella pneumoniae,Meropenem,Serbia,2017,,2017,,0,
Klebsiella pneumoniae,Meropenem,South Africa,2007,,2007,,0,
Klebsiella pneumoniae,Meropenem,Taiwan,2024,,2007,,17,
Klebsiella pneumoniae,Meropenem,Thailand,2017,2017.0,2015,0.0,2,-2.0
Klebsiella pneumoniae,Meropenem,Tunisia,2013,,2013,,0,
Klebsiella pneumoniae,Meropenem,Turkey,2009,,2009,,0,
Klebsiella pneumoniae,Meropenem,Ukraine,2018,,2018,,0,
Klebsiella pneumoniae,Meropenem,United Kingdom,2018,2018.0,2018,0.0,0,0.0
Klebsiella pneumoniae,Meropenem,Venezuela,2009,,2009,,0,
Klebsiella pneumoniae,Meropenem,Vietnam,2015,,2015,,0,
Pseudomonas aeruginosa,Cefepime,Argentina,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Australia,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Austria,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Belgium,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Brazil,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Bulgaria,2009,,2009,,0,
Pseudomonas aeruginosa,Cefepime,Cameroon,2022,,2020,,2,
Pseudomonas aeruginosa,Cefepime,Canada,2009,,2008,,1,
Pseudomonas aeruginosa,Cefepime,Chile,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,China,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Colombia,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Croatia,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Czech Republic,2009,,2008,,1,
Pseudomonas aeruginosa,Cefepime,Denmark,2009,,2009,,0,
Pseudomonas aeruginosa,Cefepime,Egypt,2011,,2011,,0,
Pseudomonas aeruginosa,Cefepime,El Salvador,2009,,2009,,0,
Pseudomonas aeruginosa,Cefepime,France,2009,,2008,,1,
Pseudomonas aeruginosa,Cefepime,Ghana,2023,,2023,,0,
Pseudomonas aeruginosa,Cefepime,Greece,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Guatemala,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Honduras,2009,,2009,,0,
Pseudomonas aeruginosa,Cefepime,Hong Kong,2010,,2010,,0,
Pseudomonas aeruginosa,Cefepime,Hungary,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,India,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Indonesia,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Ireland,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Israel,2009,,2008,,1,
Pseudomonas aeruginosa,Cefepime,Italy,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Ivory Coast,2021,,2021,,0,
Pseudomonas aeruginosa,Cefepime,Japan,2024,,2020,,4,
Pseudomonas aeruginosa,Cefepime,Jordan,2010,,2010,,0,
Pseudomonas aeruginosa,Cefepime,Kenya,2022,,2021,,1,
Pseudomonas aeruginosa,Cefepime,"Korea, South",2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Kuwait,2018,,2012,,6,
Pseudomonas aeruginosa,Cefepime,Latvia,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Lithuania,2010,,2008,,2,
Pseudomonas aeruginosa,Cefepime,Malaysia,2010,,2009,,1,
Pseudomonas aeruginosa,Cefepime,Mexico,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Morocco,2012,,2011,,1,
Pseudomonas aeruginosa,Cefepime,Namibia,2009,,2009,,0,
Pseudomonas aeruginosa,Cefepime,Netherlands,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Nigeria,2018,,2018,,0,
Pseudomonas aeruginosa,Cefepime,Pakistan,2015,,2015,,0,
Pseudomonas aeruginosa,Cefepime,Panama,2010,,2009,,1,
Pseudomonas aeruginosa,Cefepime,Philippines,2018,,2018,,0,
Pseudomonas aeruginosa,Cefepime,Poland,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Portugal,2009,,2008,,1,
Pseudomonas aeruginosa,Cefepime,Qatar,2019,,2019,,0,
Pseudomonas aeruginosa,Cefepime,Romania,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Russia,2018,,2018,,0,
Pseudomonas aeruginosa,Cefepime,Saudi Arabia,2009,,2009,,0,
Pseudomonas aeruginosa,Cefepime,Serbia,2017,,2017,,0,
Pseudomonas aeruginosa,Cefepime,Singapore,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Slovak Republic,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Slovenia,2009,,2008,,1,
Pseudomonas aeruginosa,Cefepime,South Africa,2011,,2011,,0,
Pseudomonas aeruginosa,Cefepime,Spain,2010,,2008,,2,
Pseudomonas aeruginosa,Cefepime,Sweden,2021,,2010,,11,
Pseudomonas aeruginosa,Cefepime,Switzerland,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Taiwan,2009,,2009,,0,
Pseudomonas aeruginosa,Cefepime,Thailand,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Tunisia,2011,,2011,,0,
Pseudomonas aeruginosa,Cefepime,Turkey,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Uganda,2023,,2023,,0,
Pseudomonas aeruginosa,Cefepime,Ukraine,2018,,2018,,0,
Pseudomonas aeruginosa,Cefepime,United Kingdom,2010,,2010,,0,
Pseudomonas aeruginosa,Cefepime,Venezuela,2008,,2008,,0,
Pseudomonas aeruginosa,Cefepime,Vietnam,2016,,2016,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Argentina,2021,2020.0,2013,1.0,8,-7.0
Pseudomonas aeruginosa,Ceftazidime avibactam,Austria,2015,,2013,,2,
Pseudomonas aeruginosa,Ceftazidime avibactam,Belgium,2013,,2013,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Brazil,2014,,2013,,1,
Pseudomonas aeruginosa,Ceftazidime avibactam,Bulgaria,2022,,2022,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Cameroon,2022,,2020,,2,
Pseudomonas aeruginosa,Ceftazidime avibactam,Chile,2012,,2012,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,China,2016,,2013,,3,
Pseudomonas aeruginosa,Ceftazidime avibactam,Colombia,2014,,2013,,1,
Pseudomonas aeruginosa,Ceftazidime avibactam,Croatia,2019,,2019,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Czech Republic,2013,,2013,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Ghana,2023,,2023,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Greece,2012,,2012,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Guatemala,2019,,2019,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Hong Kong,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Hungary,2014,,2014,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,India,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Italy,2014,,2014,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Ivory Coast,2021,,2021,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Japan,2016,2016.0,2016,0.0,0,0.0
Pseudomonas aeruginosa,Ceftazidime avibactam,Jordan,2022,,2021,,1,
Pseudomonas aeruginosa,Ceftazidime avibactam,Kenya,2014,,2014,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,"Korea, South",2015,,2015,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Kuwait,2013,,2013,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Latvia,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Malaysia,2020,2020.0,2014,0.0,6,-6.0
Pseudomonas aeruginosa,Ceftazidime avibactam,Mexico,2014,,2012,,2,
Pseudomonas aeruginosa,Ceftazidime avibactam,Morocco,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Netherlands,2024,,2017,,7,
Pseudomonas aeruginosa,Ceftazidime avibactam,Nigeria,2018,,2014,,4,
Pseudomonas aeruginosa,Ceftazidime avibactam,Panama,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Philippines,2012,,2012,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Poland,2016,,2016,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Qatar,2019,,2019,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Romania,2013,,2012,,1,
Pseudomonas aeruginosa,Ceftazidime avibactam,Russia,2013,,2013,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Saudi Arabia,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Singapore,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,South Africa,2013,,2013,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Sweden,2022,2022.0,2014,0.0,8,-8.0
Pseudomonas aeruginosa,Ceftazidime avibactam,Taiwan,2023,2023.0,2013,0.0,10,-10.0
Pseudomonas aeruginosa,Ceftazidime avibactam,Thailand,2013,,2012,,1,
Pseudomonas aeruginosa,Ceftazidime avibactam,Turkey,2019,2019.0,2013,0.0,6,-6.0
Pseudomonas aeruginosa,Ceftazidime avibactam,Uganda,2023,,2023,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Ukraine,2018,,2018,,0,
Pseudomonas aeruginosa,Ceftazidime avibactam,Venezuela,2012,,2012,,0,
Pseudomonas aeruginosa,Colistin,China,2018,,2018,,0,
Pseudomonas aeruginosa,Colistin,India,2018,,2018,,0,
Pseudomonas aeruginosa,Meropenem,Argentina,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Australia,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Austria,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Belgium,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Brazil,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Bulgaria,2009,,2009,,0,
Pseudomonas aeruginosa,Meropenem,Cameroon,2020,,2020,,0,
Pseudomonas aeruginosa,Meropenem,Canada,2009,,2007,,2,
Pseudomonas aeruginosa,Meropenem,Chile,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,China,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Colombia,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Costa Rica,2018,,2018,,0,
Pseudomonas aeruginosa,Meropenem,Croatia,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Czech Republic,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Denmark,2009,,2007,,2,
Pseudomonas aeruginosa,Meropenem,Dominican Republic,2018,,2018,,0,
Pseudomonas aeruginosa,Meropenem,Egypt,2011,,2011,,0,
Pseudomonas aeruginosa,Meropenem,El Salvador,2009,,2009,,0,
Pseudomonas aeruginosa,Meropenem,Finland,2013,,2011,,2,
Pseudomonas aeruginosa,Meropenem,France,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Germany,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Ghana,2023,,2023,,0,
Pseudomonas aeruginosa,Meropenem,Greece,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Guatemala,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Honduras,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Hong Kong,2010,,2007,,3,
Pseudomonas aeruginosa,Meropenem,Hungary,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,India,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Indonesia,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Ireland,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Israel,2008,,2007,,1,
Pseudomonas aeruginosa,Meropenem,Italy,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Ivory Coast,2021,,2021,,0,
Pseudomonas aeruginosa,Meropenem,Japan,2012,,2012,,0,
Pseudomonas aeruginosa,Meropenem,Jordan,2010,,2010,,0,
Pseudomonas aeruginosa,Meropenem,Kenya,2014,,2014,,0,
Pseudomonas aeruginosa,Meropenem,"Korea, South",2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Kuwait,2012,,2012,,0,
Pseudomonas aeruginosa,Meropenem,Latvia,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Lithuania,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Malawi,2022,,2022,,0,
Pseudomonas aeruginosa,Meropenem,Malaysia,2009,,2009,,0,
Pseudomonas aeruginosa,Meropenem,Mexico,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Morocco,2011,,2011,,0,
Pseudomonas aeruginosa,Meropenem,Netherlands,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Nigeria,2014,,2014,,0,
Pseudomonas aeruginosa,Meropenem,Oman,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Pakistan,2015,,2015,,0,
Pseudomonas aeruginosa,Meropenem,Panama,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Philippines,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Poland,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Portugal,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Qatar,2019,,2019,,0,
Pseudomonas aeruginosa,Meropenem,Romania,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Russia,2012,,2012,,0,
Pseudomonas aeruginosa,Meropenem,Saudi Arabia,2009,,2009,,0,
Pseudomonas aeruginosa,Meropenem,Serbia,2017,,2017,,0,
Pseudomonas aeruginosa,Meropenem,Singapore,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Slovak Republic,2008,,2007,,1,
Pseudomonas aeruginosa,Meropenem,Slovenia,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,South Africa,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Spain,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Sweden,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Switzerland,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Taiwan,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Thailand,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Tunisia,2011,,2011,,0,
Pseudomonas aeruginosa,Meropenem,Turkey,2008,,2008,,0,
Pseudomonas aeruginosa,Meropenem,Uganda,2023,,2023,,0,
Pseudomonas aeruginosa,Meropenem,Ukraine,2018,,2018,,0,
Pseudomonas aeruginosa,Meropenem,United Kingdom,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Venezuela,2007,,2007,,0,
Pseudomonas aeruginosa,Meropenem,Vietnam,2016,,2016,,0,
